pol,utdate,obsnum,subsysnr,object,molecule,transition,obs_sb,peak,tsys,bwmode
p0,20200628,48,2,W75N,CH3OH,5-4,LSB,4.106380000000000,148.1869,1000MHzx2048
p0,20200701,27,2,W75N,CH3OH,5-4,LSB,4.1266,163.6375,1000MHzx2048
p1,20200627,95,1,W75N,CH3OH,5-4,LSB,4.37446,115.0274,250MHzx8192
p1,20200628,48,1,W75N,CH3OH,5-4,LSB,4.59405,137.125,250MHzx8192
p1,20200701,27,1,W75N,CH3OH,5-4,LSB,4.3803,153.761,250MHzx8192
p1,20200627,95,2,W75N,CH3OH,5-4,LSB,4.33206,118.8507,1000MHzx2048
p1,20200628,48,2,W75N,CH3OH,5-4,LSB,4.4669300000000000,141.9492,1000MHzx2048
p1,20200701,27,2,W75N,CH3OH,5-4,LSB,4.19451,157.3757,1000MHzx2048
both,20200627,95,1,W75N,CH3OH,5-4,LSB,4.28822,120.2333,250MHzx8192
both,20200628,48,1,W75N,CH3OH,5-4,LSB,4.40223,143.3724,250MHzx8192
both,20200701,27,1,W75N,CH3OH,5-4,LSB,4.26361,159.358,250MHzx8192
both,20200627,95,2,W75N,CH3OH,5-4,LSB,4.22056,121.2918,1000MHzx2048
both,20200628,48,2,W75N,CH3OH,5-4,LSB,4.29726,144.9666,1000MHzx2048
both,20200701,27,2,W75N,CH3OH,5-4,LSB,4.16385,160.4139,1000MHzx2048
p0,20200628,26,1,16293-2422,CH3OH,5-4,LSB,1.29796,160.1801,250MHzx8192
p0,20200629,23,1,16293-2422,CH3OH,5-4,LSB,1.08219,197.3191,250MHzx8192
p0,20200701,18,1,16293-2422,CH3OH,5-4,LSB,1.14399,166.4981,250MHzx8192
p0,20200628,26,2,16293-2422,CH3OH,5-4,LSB,1.03577,158.4672,1000MHzx2048
p0,20200629,23,2,16293-2422,CH3OH,5-4,LSB,1.00684,193.9901,1000MHzx2048
p0,20200701,18,2,16293-2422,CH3OH,5-4,LSB,1.02867,164.1586,1000MHzx2048
p1,20200628,26,1,16293-2422,CH3OH,5-4,LSB,1.17587,146.9322,250MHzx8192
p1,20200629,23,1,16293-2422,CH3OH,5-4,LSB,1.2437800000000000,182.3715,250MHzx8192
p1,20200701,18,1,16293-2422,CH3OH,5-4,LSB,1.2409700000000000,154.1094,250MHzx8192
p1,20200628,26,2,16293-2422,CH3OH,5-4,LSB,1.16373,150.673,1000MHzx2048
p1,20200629,23,2,16293-2422,CH3OH,5-4,LSB,1.1779700000000000,185.0989,1000MHzx2048
p1,20200701,18,2,16293-2422,CH3OH,5-4,LSB,1.138,156.6002,1000MHzx2048
both,20200628,26,1,16293-2422,CH3OH,5-4,LSB,1.22674,153.1281,250MHzx8192
both,20200629,23,1,16293-2422,CH3OH,5-4,LSB,1.1605300000000000,189.4148,250MHzx8192
